[BASEPOINT]
#       X         Y         Z
0	-1	0
0.367392	-0.948349	-0.18375
0.719189	-0.788913	-0.361242
1.02924	-0.512502	-0.526432
1.25561	-0.11635	-0.673696
1.34402	0.382407	-0.798017
1.24033	0.936652	-0.895163
0.908799	1.46776	-0.961826
0.350545	1.87525	-0.995734
-0.384453	2.05664	-0.995734
-1.19693	1.93311	-0.961826
-1.95174	1.47389	-0.895163
-2.50328	0.712245	-0.798017
-2.72732	-0.252724	-0.673696
-2.55141	-1.27045	-0.526432
-1.97559	-2.16712	-0.361242
-1.07757	-2.78154	-0.18375
0	-3	0
1.07757	-2.78154	0.18375
1.97559	-2.16712	0.361242
2.55141	-1.27045	0.526432
2.72732	-0.252724	0.673696
2.50328	0.712245	0.798017
1.95174	1.47389	0.895163
1.19693	1.93311	0.961826
0.384453	2.05664	0.995734
-0.350545	1.87525	0.995734
-0.908799	1.46776	0.961826
-1.24033	0.936652	0.895163
-1.34402	0.382407	0.798017
-1.25561	-0.11635	0.673696
-1.02924	-0.512502	0.526432
-0.719189	-0.788913	0.361242
-0.367392	-0.948349	0.18375
0	-1	0

[ACCURACY]
1.0

[ADJUST_MAT]
1		0		0		0
0		1		0		0
0		0		1		0
0		1.0		0		1
