[BASEPOINT]
#       X         Y         Z
50000      0.0     0.0
60000      0.0     0.0
70000      0.0     0.0
80000      0.0     0.0
90000      0.0     0.0
100000      0.0     0.0
200000      0.0     0.0
300000    50000     0.0
400000      0.0  100000
500000  -150000     0.0
600000      0.0 -200000
700000   200000     0.0
800000      0.0  200000
900000  -200000     0.0
1000000     0.0 -200000
1100000  200000     0.0
1200000     0.0  200000
1300000 -200000     0.0
1400000     0.0 -200000
1500000  200000     0.0
1600000     0.0  200000
1700000 -200000     0.0
1800000     0.0 -200000
1900000  150000     0.0
2000000     0.0  100000
2100000  -50000     0.0
2200000     0.0  -20000
2300000     0.0     0.0
3000000     0.0     0.0  
6000000     0.0     0.0  

[ACCURACY]
0.2
