[BASEPOINT]
#       X         Y         Z
 3.58779  0 -0.809017
 3.49413 -0.49666 -0.848464
 3.33072 -0.966389 -0.883683
 3.10369 -1.39939 -0.9145
 2.82053 -1.78717 -0.940761
 2.48982 -2.12271 -0.962335
 2.12093 -2.40059 -0.979115
 1.72373 -2.61707 -0.991017
 1.30829 -2.77009 -0.997982
 0.884588 -2.85923 -0.999975
 0.462261 -2.88563 -0.996986
 0.0503385 -2.85184 -0.98903
-0.34294 -2.76168 -0.976147
-0.710294 -2.62 -0.958401
-1.04551 -2.43251 -0.93588
-1.34354 -2.20554 -0.908697
-1.60049 -1.94582 -0.876986
-1.81365 -1.66027 -0.840906
-1.9814 -1.35578 -0.800637
-2.10318 -1.0391 -0.75638
-2.17934 -0.716626 -0.708354
-2.21104 -0.394339 -0.656799
-2.20011 -0.0776935 -0.601972
-2.1489  0.228416 -0.544146
-2.06018  0.519673 -0.483609
-1.93699  0.792334 -0.420662
-1.78256  1.04319 -0.35562
-1.60018  1.26952 -0.288807
-1.39323  1.46902 -0.220554
-1.16503  1.63976 -0.151203
-0.918915  1.78011 -0.0810981
-0.658196  1.88865 -0.0105894
-0.386199  1.96419  0.0599719
-0.106298  2.0057  0.130235
 0.178043  2.01231  0.199848
 0.463218  1.98334  0.268466
 0.745445  1.9183  0.335747
 1.02073  1.817  0.401355
 1.28486  1.67957  0.464964
 1.5334  1.50658  0.526256
 1.76174  1.29908  0.584926
 1.96513  1.05876  0.640682
 2.13877  0.787961  0.693246
 2.27793  0.489795  0.742357
 2.37809  0.168167  0.787769
 2.43505 -0.172195  0.829257
 2.44514 -0.525747  0.866613
 2.40534 -0.886173  0.899652
 2.31352 -1.24647  0.928209
 2.16853 -1.59904  0.952141
 1.97038 -1.9359  0.97133
 1.72033 -2.24881  0.98568
 1.421 -2.52952  0.99512
 1.0764 -2.76997  0.999601
 0.691934 -2.96262  0.999103
 0.274331 -3.1006  0.993627
-0.16843 -3.17806  0.983201
-0.627284 -3.19034  0.967877
-1.09227 -3.1342  0.947731
-1.55276 -3.00799  0.922863
-1.99776 -2.81183  0.893398
-2.41618 -2.54762  0.859482
-2.79715 -2.21914  0.821283
-3.13038 -1.83196  0.778994
-3.40645 -1.39342  0.732823
-3.61712 -0.912404  0.683002
-3.75562 -0.3992  0.629777
-3.81689  0.134787  0.573416
-3.79774  0.677327  0.514197
-3.69706  1.21569  0.452417
-3.51581  1.73702  0.388383
-3.25709  2.22868  0.322414
-2.92608  2.67862  0.254839
-2.5299  3.07576  0.185994
-2.07743  3.41029  0.116223
-1.5791  3.67397  0.0458723
-1.04656  3.86035 -0.0247066
-0.492368  3.96501 -0.0951625
 0.0703516  3.98565 -0.165144
 0.628307  3.92216 -0.234303
 1.1684  3.7766 -0.302295
 1.67813  3.55317 -0.368781
 2.14587  3.25799 -0.433429
 2.56127  2.899 -0.495919
 2.91548  2.48561 -0.555937
 3.20138  2.02849 -0.613186
 3.41376  1.5392 -0.66738
 3.5494  1.02984 -0.718249
 3.60713  0.512721 -0.76554
 3.58779  1.75751e-15 -0.809017

[ACCURACY]
0.5

[ADJUST_MAT]
1		0		0		0
0		1		0		0
0		0		1		0
0		0		0		1
