[BASEPOINT]
#       X         Y         Z
0	0	0
0.935538	0.1851	0.11025
1.72431	0.70852	0.216745
2.24698	1.48114	0.315859
2.43298	2.374551	0.404217
2.27143	3.246277	0.47881
1.80946	3.96644	0.537098
1.1393	4.44004	0.577095
0.377672	4.62036	0.597441
-0.357326	4.51153	0.597441
-0.966425	4.16083	0.577095
-1.38261	3.6441	0.537098
-1.57587	3.048375	0.47881
-1.54995	2.456376	0.404217
-1.33368	1.935908	0.315859
-0.97047	1.53545	0.216745
-0.509429	1.28501	0.11025
0	1.2	0
0.509429	1.28501	-0.11025
0.97047	1.53545	-0.216745
1.33368	1.935908	-0.315859
1.54995	2.456376	-0.404217
1.57587	3.048375	-0.47881
1.38261	3.6441	-0.537098
0.966425	4.16083	-0.577095
0.357326	4.51153	-0.597441
-0.377672	4.62036	-0.597441
-1.1393	4.44004	-0.577095
-1.80946	3.96644	-0.537098
-2.27143	3.246277	-0.47881
-2.43298	2.374551	-0.404217
-2.24698	1.48114	-0.315859
-1.72431	0.70852	-0.216745
-0.935538	0.1851	-0.11025
0	0	0

[ACCURACY]
1.0
