1

120 40 40

116 12 12 12 20 20 20 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 1012 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 124 880 145 142 142 142 139 139 136 142 142 145 145 142 139 138 135 138 139 141 145 145 145 145 145 145 145 145 133 133 133 145 145 145 145 142 142 142 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 145 

0 15 14 16 1 15 16 1 1 1	0 15 15 16 1 1 16 25 1 1	0 15 16 16 0 0 0 0 0 0	0 15 17 16 0 0 0 0 0 0	0 15 18 16 0 0 0 0 0 0	0 15 19 16 0 0 0 0 0 0	0 15 20 16 0 0 0 0 0 0	0 15 21 16 0 0 0 0 0 0	0 15 22 16 0 0 0 0 0 0	0 15 23 16 0 0 0 0 0 0	0 15 24 16 0 0 0 0 0 0	0 15 25 16 0 0 0 0 0 0	0 16 14 16 1 15 1 1 1 24	0 16 15 16 1 1 1 4 1 24	0 16 16 16 0 0 0 0 0 0	0 16 17 16 0 0 0 0 0 0	0 16 18 16 0 0 0 0 0 0	0 16 19 16 1 1 1 2 1 3	0 16 20 16 0 0 0 0 0 0	0 16 21 16 1 1 1 19 1 24	0 16 22 16 0 0 0 0 0 0	0 16 23 16 0 0 0 0 0 0	0 16 24 16 0 0 0 0 0 0	0 16 25 16 0 0 0 0 0 0	0 17 14 16 0 0 0 0 0 0	0 17 15 16 0 0 0 0 0 0	0 17 16 16 0 0 0 0 0 0	0 17 17 16 0 0 0 0 0 0	0 17 18 16 0 0 0 0 0 0	0 17 19 16 0 0 0 0 0 0	0 17 20 16 0 0 0 0 0 0	0 17 21 16 0 0 0 0 0 0	0 17 22 16 0 0 0 0 0 0	0 17 23 16 0 0 0 0 0 0	0 17 24 16 0 0 0 0 0 0	0 17 25 16 0 0 0 0 0 0	0 18 14 16 0 0 0 0 0 0	0 18 15 16 0 0 0 0 0 0	0 18 16 16 0 0 0 0 0 0	0 18 17 16 0 0 0 0 0 0	0 18 18 16 0 0 0 0 0 0	0 18 19 48 0 0 0 0 0 0	0 18 20 48 0 0 0 0 0 0	0 18 21 16 0 0 0 0 0 0	0 18 22 16 0 0 0 0 0 0	0 18 23 16 0 0 0 0 0 0	0 18 24 16 0 0 0 0 0 0	0 18 25 16 0 0 0 0 0 0	0 19 14 16 0 0 0 0 0 0	0 19 15 16 0 0 0 0 0 0	0 19 16 16 0 0 0 0 0 0	0 19 17 16 0 0 0 0 0 0	0 19 18 24 0 0 0 0 0 0	0 19 21 18 0 0 0 0 0 0	0 19 22 16 0 0 0 0 0 0	0 19 23 16 0 0 0 0 0 0	0 19 24 16 0 0 0 0 0 0	0 19 25 16 0 0 0 0 0 0	0 20 14 16 0 0 0 0 0 0	0 20 15 16 0 0 0 0 0 0	0 20 16 16 0 0 0 0 0 0	0 20 17 16 0 0 0 0 0 0	0 20 18 24 0 0 0 0 0 0	0 20 21 18 0 0 0 0 0 0	0 20 22 16 0 0 0 0 0 0	0 20 23 16 0 0 0 0 0 0	0 20 24 16 0 0 0 0 0 0	0 20 25 16 0 0 0 0 0 0	0 21 14 16 0 0 0 0 0 0	0 21 15 16 0 0 0 0 0 0	0 21 16 16 0 0 0 0 0 0	0 21 17 16 0 0 0 0 0 0	0 21 18 16 0 0 0 0 0 0	0 21 19 20 0 0 0 0 0 0	0 21 20 20 0 0 0 0 0 0	0 21 21 16 0 0 0 0 0 0	0 21 22 16 0 0 0 0 0 0	0 21 23 16 0 0 0 0 0 0	0 21 24 16 0 0 0 0 0 0	0 21 25 16 0 0 0 0 0 0	0 22 14 16 0 0 0 0 0 0	0 22 15 16 0 0 0 0 0 0	0 22 16 16 0 0 0 0 0 0	0 22 17 16 0 0 0 0 0 0	0 22 18 16 0 0 0 0 0 0	0 22 19 16 0 0 0 0 0 0	0 22 20 16 0 0 0 0 0 0	0 22 21 16 0 0 0 0 0 0	0 22 22 16 0 0 0 0 0 0	0 22 23 16 0 0 0 0 0 0	0 22 24 16 0 0 0 0 0 0	0 22 25 16 0 0 0 0 0 0	0 23 14 16 0 0 0 0 0 0	0 23 15 16 0 0 0 0 0 0	0 23 16 16 0 0 0 0 0 0	0 23 17 16 0 0 0 0 0 0	0 23 18 16 0 0 0 0 0 0	0 23 19 16 0 0 0 0 0 0	0 23 20 16 0 0 0 0 0 0	0 23 21 16 0 0 0 0 0 0	0 23 22 16 0 0 0 0 0 0	0 23 23 16 0 0 0 0 0 0	0 23 24 16 0 0 0 0 0 0	0 23 25 16 0 0 0 0 0 0	0 24 14 16 0 0 0 0 0 0	0 24 15 16 0 0 0 0 0 0	0 24 16 16 0 0 0 0 0 0	0 24 17 16 0 0 0 0 0 0	0 24 18 16 0 0 0 0 0 0	0 24 19 16 0 0 0 0 0 0	0 24 20 16 0 0 0 0 0 0	0 24 21 16 0 0 0 0 0 0	0 24 22 16 0 0 0 0 0 0	0 24 23 16 0 0 0 0 0 0	0 24 24 16 0 0 0 0 0 0	0 24 25 16 0 0 0 0 0 0	
0 18 18 0 0 0 0 0 0 0	0 18 19 32 0 0 0 0 0 0	0 18 20 32 0 0 0 0 0 0	0 18 21 0 0 0 0 0 0 0	0 19 18 8 0 0 0 0 0 0	0 19 21 2 0 0 0 0 0 0	0 20 18 8 0 0 0 0 0 0	0 20 21 2 0 0 0 0 0 0	0 21 18 0 0 0 0 0 0 0	0 21 19 4 0 0 0 0 0 0	0 21 20 4 0 0 0 0 0 0	0 21 21 0 0 0 0 0 0 0	
0 18 18 0 0 0 0 0 0 0	0 18 19 32 0 0 0 0 0 0	0 18 20 32 0 0 0 0 0 0	0 18 21 0 0 0 0 0 0 0	0 19 18 8 0 0 0 0 0 0	0 19 21 2 0 0 0 0 0 0	0 20 18 8 0 0 0 0 0 0	0 20 21 2 0 0 0 0 0 0	0 21 18 0 0 0 0 0 0 0	0 21 19 4 0 0 0 0 0 0	0 21 20 4 0 0 0 0 0 0	0 21 21 0 0 0 0 0 0 0	
0 18 18 1 1 19 19 1 3 1	0 18 19 33 1 1 19 21 3 1	0 18 20 33 0 0 0 0 0 0	0 18 21 1 0 0 0 0 0 0	0 19 18 9 1 19 1 1 3 21	0 19 21 3 1 1 1 19 3 21	0 20 18 9 0 0 0 0 0 0	0 20 21 3 0 0 0 0 0 0	0 21 18 1 0 0 0 0 0 0	0 21 19 5 1 1 1 2 4 19	0 21 20 5 0 0 0 0 0 0	0 21 21 1 0 0 0 0 0 0	
0 17 17 0 0 0 0 0 0 0	0 17 18 32 0 0 0 0 0 0	0 17 19 32 0 0 0 0 0 0	0 17 20 32 0 0 0 0 0 0	0 17 21 32 0 0 0 0 0 0	0 17 22 0 0 0 0 0 0 0	0 18 17 8 0 0 0 0 0 0	0 18 22 2 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 8 0 0 0 0 0 0	0 20 22 2 0 0 0 0 0 0	0 21 17 8 0 0 0 0 0 0	0 21 22 2 0 0 0 0 0 0	0 22 17 0 0 0 0 0 0 0	0 22 18 4 0 0 0 0 0 0	0 22 19 4 0 0 0 0 0 0	0 22 20 4 0 0 0 0 0 0	0 22 21 4 0 0 0 0 0 0	0 22 22 0 0 0 0 0 0 0	
0 17 17 0 0 0 0 0 0 0	0 17 18 32 0 0 0 0 0 0	0 17 19 32 0 0 0 0 0 0	0 17 20 32 0 0 0 0 0 0	0 17 21 32 0 0 0 0 0 0	0 17 22 0 0 0 0 0 0 0	0 18 17 8 0 0 0 0 0 0	0 18 22 2 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 8 0 0 0 0 0 0	0 20 22 2 0 0 0 0 0 0	0 21 17 8 0 0 0 0 0 0	0 21 22 2 0 0 0 0 0 0	0 22 17 0 0 0 0 0 0 0	0 22 18 4 0 0 0 0 0 0	0 22 19 4 0 0 0 0 0 0	0 22 20 4 0 0 0 0 0 0	0 22 21 4 0 0 0 0 0 0	0 22 22 0 0 0 0 0 0 0	
0 17 17 0 0 0 0 0 0 0	0 17 18 32 0 0 0 0 0 0	0 17 19 32 0 0 0 0 0 0	0 17 20 32 0 0 0 0 0 0	0 17 21 32 0 0 0 0 0 0	0 17 22 0 0 0 0 0 0 0	0 18 17 8 0 0 0 0 0 0	0 18 22 2 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 8 0 0 0 0 0 0	0 20 22 2 0 0 0 0 0 0	0 21 17 8 0 0 0 0 0 0	0 21 22 2 0 0 0 0 0 0	0 22 17 0 0 0 0 0 0 0	0 22 18 4 1 1 1 4 3 18	0 22 19 4 0 0 0 0 0 0	0 22 20 4 0 0 0 0 0 0	0 22 21 4 0 0 0 0 0 0	0 22 22 0 0 0 0 0 0 0	
0 17 17 0 1 18 18 1 4 1	0 17 18 33 1 1 18 22 4 1	0 17 19 33 0 0 0 0 0 0	0 17 20 33 0 0 0 0 0 0	0 17 21 33 0 0 0 0 0 0	0 17 22 0 0 0 0 0 0 0	0 18 17 8 1 18 1 1 4 22	0 18 22 2 1 1 1 18 4 22	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 8 0 0 0 0 0 0	0 20 22 2 0 0 0 0 0 0	0 21 17 0 0 0 0 0 0 0	0 21 18 20 1 1 1 4 1 19	0 21 19 20 0 0 0 0 0 0	0 21 20 20 0 0 0 0 0 0	0 21 21 20 0 0 0 0 0 0	0 21 22 0 0 0 0 0 0 0	
0 16 17 0 0 0 0 0 0 0	0 16 18 32 0 0 0 0 0 0	0 16 19 32 0 0 0 0 0 0	0 16 20 32 0 0 0 0 0 0	0 16 21 32 0 0 0 0 0 0	0 16 22 0 0 0 0 0 0 0	0 17 17 8 0 0 0 0 0 0	0 17 22 2 0 0 0 0 0 0	0 18 17 8 0 0 0 0 0 0	0 18 22 2 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 0 0 0 0 0 0 0	0 20 18 20 0 0 0 0 0 0	0 20 19 20 0 0 0 0 0 0	0 20 20 20 0 0 0 0 0 0	0 20 21 20 0 0 0 0 0 0	0 20 22 0 0 0 0 0 0 0	
0 16 17 0 0 0 0 0 0 0	0 16 18 32 0 0 0 0 0 0	0 16 19 32 0 0 0 0 0 0	0 16 20 32 0 0 0 0 0 0	0 16 21 32 0 0 0 0 0 0	0 16 22 0 0 0 0 0 0 0	0 17 17 8 0 0 0 0 0 0	0 17 22 2 0 0 0 0 0 0	0 18 17 8 0 0 0 0 0 0	0 18 22 2 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 0 0 0 0 0 0 0	0 20 18 4 0 0 0 0 0 0	0 20 19 4 0 0 0 0 0 0	0 20 20 4 0 0 0 0 0 0	0 20 21 4 0 0 0 0 0 0	0 20 22 0 0 0 0 0 0 0	
0 16 17 0 0 0 0 0 0 0	0 16 18 32 0 0 0 0 0 0	0 16 19 32 0 0 0 0 0 0	0 16 20 32 0 0 0 0 0 0	0 16 21 32 0 0 0 0 0 0	0 16 22 0 0 0 0 0 0 0	0 17 17 8 0 0 0 0 0 0	0 17 22 2 0 0 0 0 0 0	0 18 17 8 0 0 0 0 0 0	0 18 22 2 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 0 0 0 0 0 0 0	0 20 18 4 0 0 0 0 0 0	0 20 19 4 0 0 0 0 0 0	0 20 20 4 0 0 0 0 0 0	0 20 21 4 0 0 0 0 0 0	0 20 22 0 0 0 0 0 0 0	
0 16 17 0 1 18 17 1 4 1	0 16 18 32 1 1 17 22 4 1	0 16 19 33 0 0 0 0 0 0	0 16 20 33 0 0 0 0 0 0	0 16 21 33 0 0 0 0 0 0	0 16 22 1 0 0 0 0 0 0	0 17 17 8 1 18 1 1 4 23	0 17 22 3 1 1 1 18 4 23	0 18 17 8 0 0 0 0 0 0	0 18 22 3 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 0 0 0 0 0 0 0	0 20 18 4 1 1 1 4 4 20	0 20 19 4 0 0 0 0 0 0	0 20 20 4 0 0 0 0 0 0	0 20 21 4 0 0 0 0 0 0	0 20 22 0 0 0 0 0 0 0	
0 15 18 0 0 0 0 0 0 0	0 15 19 32 0 0 0 0 0 0	0 15 20 32 0 0 0 0 0 0	0 15 21 32 0 0 0 0 0 0	0 15 22 32 0 0 0 0 0 0	0 15 23 0 0 0 0 0 0 0	0 16 18 8 0 0 0 0 0 0	0 16 23 2 0 0 0 0 0 0	0 17 18 24 0 0 0 0 0 0	0 17 23 2 0 0 0 0 0 0	0 18 18 24 0 0 0 0 0 0	0 18 23 2 0 0 0 0 0 0	0 19 18 16 0 0 0 0 0 0	0 19 19 20 0 0 0 0 0 0	0 19 20 20 0 0 0 0 0 0	0 19 21 20 0 0 0 0 0 0	0 19 22 4 0 0 0 0 0 0	0 19 23 0 0 0 0 0 0 0	
0 15 18 0 0 0 0 0 0 0	0 15 19 32 0 0 0 0 0 0	0 15 20 32 0 0 0 0 0 0	0 15 21 32 0 0 0 0 0 0	0 15 22 32 0 0 0 0 0 0	0 15 23 0 0 0 0 0 0 0	0 16 18 8 0 0 0 0 0 0	0 16 23 2 0 0 0 0 0 0	0 17 18 8 0 0 0 0 0 0	0 17 23 2 0 0 0 0 0 0	0 18 18 8 0 0 0 0 0 0	0 18 23 2 0 0 0 0 0 0	0 19 18 0 0 0 0 0 0 0	0 19 19 4 0 0 0 0 0 0	0 19 20 4 0 0 0 0 0 0	0 19 21 4 0 0 0 0 0 0	0 19 22 4 0 0 0 0 0 0	0 19 23 0 0 0 0 0 0 0	
0 15 18 0 0 0 0 0 0 0	0 15 19 32 0 0 0 0 0 0	0 15 20 32 0 0 0 0 0 0	0 15 21 32 0 0 0 0 0 0	0 15 22 32 0 0 0 0 0 0	0 15 23 0 0 0 0 0 0 0	0 16 18 8 0 0 0 0 0 0	0 16 23 2 0 0 0 0 0 0	0 17 18 8 0 0 0 0 0 0	0 17 23 2 0 0 0 0 0 0	0 18 18 8 0 0 0 0 0 0	0 18 23 2 0 0 0 0 0 0	0 19 18 0 0 0 0 0 0 0	0 19 19 4 0 0 0 0 0 0	0 19 20 4 0 0 0 0 0 0	0 19 21 4 0 0 0 0 0 0	0 19 22 4 0 0 0 0 0 0	0 19 23 0 0 0 0 0 0 0	
0 15 18 0 1 19 16 1 4 1	0 15 19 32 1 1 16 21 4 1	0 15 20 32 0 0 0 0 0 0	0 15 21 32 0 0 0 0 0 0	0 15 22 32 0 0 0 0 0 0	0 15 23 0 0 0 0 0 0 0	0 16 18 8 1 19 1 1 4 24	0 16 23 2 1 1 1 17 4 24	0 17 18 9 0 0 0 0 0 0	0 17 23 2 0 0 0 0 0 0	0 18 18 9 0 0 0 0 0 0	0 18 23 2 0 0 0 0 0 0	0 19 18 1 0 0 0 0 0 0	0 19 19 5 1 1 1 4 4 21	0 19 20 5 0 0 0 0 0 0	0 19 21 5 0 0 0 0 0 0	0 19 22 4 0 0 0 0 0 0	0 19 23 0 0 0 0 0 0 0	
0 16 17 0 0 0 0 0 0 0	0 16 18 32 0 0 0 0 0 0	0 16 19 48 0 0 0 0 0 0	0 16 20 48 0 0 0 0 0 0	0 16 21 48 0 0 0 0 0 0	0 16 22 16 0 0 0 0 0 0	0 17 17 8 0 0 0 0 0 0	0 17 22 18 0 0 0 0 0 0	0 18 17 8 0 0 0 0 0 0	0 18 22 18 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 0 0 0 0 0 0 0	0 20 18 4 0 0 0 0 0 0	0 20 19 4 0 0 0 0 0 0	0 20 20 4 0 0 0 0 0 0	0 20 21 4 0 0 0 0 0 0	0 20 22 0 0 0 0 0 0 0	
0 16 17 0 1 18 17 1 2 1	0 16 18 32 1 1 17 22 2 1	0 16 19 33 0 0 0 0 0 0	0 16 20 33 0 0 0 0 0 0	0 16 21 33 0 0 0 0 0 0	0 16 22 1 0 0 0 0 0 0	0 17 17 8 1 18 1 1 2 23	0 17 22 3 1 1 1 18 2 23	0 18 17 8 0 0 0 0 0 0	0 18 22 3 0 0 0 0 0 0	0 19 17 8 0 0 0 0 0 0	0 19 22 2 0 0 0 0 0 0	0 20 17 0 0 0 0 0 0 0	0 20 18 4 1 1 1 4 2 20	0 20 19 4 0 0 0 0 0 0	0 20 20 4 0 0 0 0 0 0	0 20 21 4 0 0 0 0 0 0	0 20 22 0 0 0 0 0 0 0	
0 15 18 0 0 0 0 0 0 0	0 15 19 32 0 0 0 0 0 0	0 15 20 32 0 0 0 0 0 0	0 15 21 32 0 0 0 0 0 0	0 15 22 32 0 0 0 0 0 0	0 15 23 0 0 0 0 0 0 0	0 16 18 8 0 0 0 0 0 0	0 16 23 2 0 0 0 0 0 0	0 17 18 24 0 0 0 0 0 0	0 17 23 2 0 0 0 0 0 0	0 18 18 24 0 0 0 0 0 0	0 18 23 2 0 0 0 0 0 0	0 19 18 16 0 0 0 0 0 0	0 19 19 20 0 0 0 0 0 0	0 19 20 20 0 0 0 0 0 0	0 19 21 20 0 0 0 0 0 0	0 19 22 4 0 0 0 0 0 0	0 19 23 0 0 0 0 0 0 0	
